,title,imdb_user_rating,imdb_critic_rating,Rot_Critic Score,Rot_Audience_Score,Genre,budget,grossUSA,realgrossUSA
140,Boy and the World (2013),7.6,80,94,92,Action & Adventure,"Gross USA: $129,479","Cumulative Worldwide Gross: $269,020",Production Co: Filme de Papel See more »
141,Ponyo (2008),7.7,86,97,88,Action & Adventure,"Opening Weekend: JPY 1,034,459,534 (Japan), 20 July 2008","Opening Weekend USA: $3,585,852, 16 August 2009, Wide Release","Gross USA: $15,090,400"
142,Bolt (2008),6.9,67,92,85,Action & Adventure,"Opening Weekend USA: $26,223,128, 23 November 2008, Wide Release","Gross USA: $114,053,579","Cumulative Worldwide Gross: $309,979,994"
143,Tangled (2010),7.8,71,94,52,Animation,"Opening Weekend USA: $48,767,052, 28 November 2010, Wide Release","Gross USA: $200,821,936","Cumulative Worldwide Gross: $591,794,936"
144,The Simpsons Movie (2007),7.3,80,90,85,Animation,"Opening Weekend USA: $74,036,787, 29 July 2007, Wide Release","Gross USA: $183,135,014","Cumulative Worldwide Gross: $526,745,137"
145,Shrek (2001),7.9,84,96,89,Animation,"Opening Weekend USA: $42,347,760, 20 May 2001, Wide Release","Gross USA: $267,665,011","Cumulative Worldwide Gross: $484,409,218"
146,Shrek 2 (2004),7.2,75,90,73,Action & Adventure,"Opening Weekend USA: $108,037,878, 23 May 2004, Wide Release","Gross USA: $436,471,036, 22 August 2004","Cumulative Worldwide Gross: $919,838,758, 25 November 2011"
147,The Wind Rises (2013),7.8,83,93,80,Drama,"Opening Weekend: JPY 810,775,632 (Japan), 27 July 2013, Limited Release","Opening Weekend USA: $313,751, 23 February 2014, Limited Release","Gross USA: $5,209,580"
148,Frankenweenie (2012),7,74,90,73,Animation,"Opening Weekend USA: $11,412,213, 7 October 2012, Wide Release","Gross USA: $35,291,068","Cumulative Worldwide Gross: $81,491,068"
149,When Marnie Was There (2014),7.7,72,91,89,Action & Adventure,"Gross USA: $765,127","Cumulative Worldwide Gross: $35,152,556","Production Co: Dentsu,Hakuhodo DY Media Partners,KDDI Corporation See more »"
150,The Peanuts Movie (2015),7.1,67,93,94,Action & Adventure,"Opening Weekend USA: $44,213,073, 8 November 2015, Wide Release","Gross USA: $130,178,411","Cumulative Worldwide Gross: $246,233,113"
151,Kung Fu Panda (2008),7.6,73,89,91,Animation,"Budget:$130,000,000 (estimated)","Opening Weekend USA: $60,239,130, 8 June 2008, Wide Release","Gross USA: $215,434,591, 9 October 2008"
152,Rango (2011),7.2,75,92,88,Animation,"Opening Weekend USA: $38,079,323, 6 March 2011, Wide Release","Gross USA: $123,477,607","Cumulative Worldwide Gross: $245,724,603"
153,Corpse Bride (2005),7.4,83,92,72,Animation,"Budget:$40,000,000 (estimated)","Opening Weekend USA: $385,078, 18 September 2005, Limited Release","Gross USA: $53,359,111"
154,Sausage Party (2016),6.2,66,92,76,Animation,"Opening Weekend USA: $34,263,534, 14 August 2016, Wide Release","Gross USA: $97,661,826, 30 October 2016","Cumulative Worldwide Gross: $36,200,000, 14 August 2016"
155,Mulan (1998),7.6,71,95,77,Art House & International,"Opening Weekend USA: $22,745,143, 21 June 1998, Wide Release","Gross USA: $120,620,254","Cumulative Worldwide Gross: $304,320,254"
156,Lilo & Stitch (2002),7.2,73,95,92,Drama,"Budget:$80,000,000 (estimated)","Opening Weekend USA: $35,260,212, 23 June 2002, Wide Release","Gross USA: $145,794,338, 26 November 2002"
157,The Emperor's New Groove (2000),7.3,70,92,65,Animation,"Opening Weekend USA: $9,812,302, 17 December 2000, Wide Release","Gross USA: $89,302,687","Cumulative Worldwide Gross: $169,327,687"
158,Chico & Rita (2010),7.2,76,91,83,Action & Adventure,"Budget:€9,200,000 (estimated)","Opening Weekend: £81,172 (United Kingdom), 21 November 2010, Limited Release","Opening Weekend USA: $20,654, 12 February 2012, Limited Release"
159,Puss in Boots (2011),6.6,65,89,73,Action & Adventure,"Opening Weekend USA: $34,077,439, 30 October 2011, Wide Release","Gross USA: $149,260,504","Cumulative Worldwide Gross: $554,987,477"
160,Anastasia (1997),7.1,59,89,87,Animation,"Opening Weekend USA: $120,541, 16 November 1997, Limited Release","Gross USA: $58,406,347","Cumulative Worldwide Gross: $139,804,348"
161,Brave (2012),7.1,69,88,77,Comedy,"Budget:$185,000,000 (estimated)","Opening Weekend USA: $66,323,594, 24 June 2012, Wide Release","Gross USA: $237,283,207"
162,Get Out (2017),7.7,84,88,90,Animation,"Budget:$5,000,000 (estimated)","Opening Weekend USA: $33,377,060, 26 February 2017, Wide Release","Gross USA: $176,040,665"
163,All About Eve (1950),8.3,98,88,69,Animation,"Opening Weekend USA: $10,177, 8 October 2000, Limited Release","Gross USA: $10,177, 8 October 2000",Production Co: Twentieth Century Fox See more »
164,It Happened One Night (1934),8.1,87,88,85,Drama,Production Co: Columbia Pictures Corporation See more »,Show more on IMDbPro »,Runtime: 105 min | 65 min (cut TV)
165,Modern Times (1936),8.5,96,87,70,Horror,"Opening Weekend USA: $11,507, 9 January 2004, Limited Release","Gross USA: $163,245, 24 October 2004",Production Co: Charles Chaplin Productions See more »
166,Singin' in the Rain (1952),8.3,99,91,80,Animation,"Gross USA: $8,819,028","Cumulative Worldwide Gross: $13,979,088",Production Co: Metro-Goldwyn-Mayer (MGM) See more »
167,The Big Sick (2017),7.6,86,91,88,Drama,"Budget:$5,000,000 (estimated)","Opening Weekend USA: $421,577, 25 June 2017, Limited Release","Gross USA: $42,872,467, 19 October 2017"
168,A Hard Day's Night (1964),7.7,96,87,76,Animation,"Opening Weekend USA: $56,805, 7 February 1982, Limited Release","Gross USA: $13,780,024","Production Co: Walter Shenson Films,Proscenium Films,Maljack Productions See more »"
169,The Philadelphia Story (1940),8,96,87,82,Action & Adventure,Show more on IMDbPro »,Runtime: 112 min,Sound Mix: Mono (Western Electric Sound System)
170,La La Land (2016),8.1,93,90,79,Drama,"Budget:$30,000,000 (estimated)","Opening Weekend USA: $881,104, 9 December 2016, Limited Release","Gross USA: $151,101,803"
171,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8.4,96,87,69,Action & Adventure,"Opening Weekend USA: $11,751, 17 July 1994, Limited Release","Gross USA: $9,440,272, 31 December 1994","Production Co: Columbia Pictures Corporation,Hawk Films See more »"
172,Cool Hand Luke (1967),8.1,91,87,90,Drama,"Cumulative Worldwide Gross: $16,217,773",Production Co: Jalem Productions See more »,Show more on IMDbPro »
173,Monty Python and the Holy Grail (1975),8.3,93,84,77,Action & Adventure,"Opening Weekend USA: $45,487, 17 June 2001, Limited Release","Gross USA: $1,229,197, 27 May 2012","Cumulative Worldwide Gross: $5,028,948"
174,Paterson (2016),7.4,90,82,50,Comedy,"Opening Weekend USA: $69,335, 1 January 2017, Limited Release","Gross USA: $2,141,423, 7 April 2017","Cumulative Worldwide Gross: $1,986,483, 20 March 2017"
175,Before Midnight (2013),7.9,94,86,85,Action & Adventure,"Budget:$3,000,000 (estimated)","Opening Weekend USA: $246,914, 26 May 2013, Limited Release","Gross USA: $8,114,627"
176,It's a Wonderful Life (1946),8.6,89,86,77,Action & Adventure,"Gross USA: $7,270,000, 31 December 1947",Production Co: Liberty Films (II) See more »,Show more on IMDbPro »
177,La Dolce Vita (1960),8.1,93,85,83,Animation,"Gross USA: $19,516,000","Production Co: Riama Film,Cinecittà,Pathé Consortium Cinéma See more »",Show more on IMDbPro »
178,To Be or Not to Be (1942),8.2,86,87,77,Drama,Production Co: Romaine Film Corporation See more »,Show more on IMDbPro »,Runtime: 99 min
179,Annie Hall (1977),8,92,84,67,Action & Adventure,"Budget:$4,000,000 (estimated)","Gross USA: $39,200,000","Production Co: Jack Rollins & Charles H. Joffe Productions,Rollins-Joffe Productions See more »"
180,Love & Friendship (2016),6.4,87,85,77,Drama,"Budget:$3,000,000 (estimated)","Opening Weekend USA: $133,513, 15 May 2016, Limited Release","Gross USA: $14,013,564, 16 September 2016"
181,Mary Poppins (1964),7.8,88,79,76,Animation,"Budget:$6,000,000 (estimated)","Gross USA: $102,272,727","Cumulative Worldwide Gross: $115,272,727"
182,The Artist (2011),7.9,89,99,86,Horror,"Budget:$15,000,000 (estimated)","Opening Weekend: €2,258,297 (France), 16 October 2011, Limited Release","Opening Weekend USA: $204,878, 18 November 2011, Limited Release"
183,The Nice Guys (2016),7.4,70,100,94,Horror,"Budget:$50,000,000 (estimated)","Opening Weekend USA: $11,203,270, 22 May 2016, Wide Release","Gross USA: $36,261,763"
184,Paddington (2014),7.2,77,98,93,Horror,"Budget:$55,000,000 (estimated)","Opening Weekend: £5,191,930 (United Kingdom), 30 November 2014, Limited Release","Opening Weekend USA: $25,205,000, 18 January 2015, Wide Release"
185,Spy (2015),7,75,100,95,Horror,"Budget:$65,000,000 (estimated)","Opening Weekend USA: $29,085,719, 7 June 2015, Wide Release","Gross USA: $110,825,712"
186,Logan Lucky (2017),7,78,100,95,Romance,"Budget:$29,000,000 (estimated)","Opening Weekend USA: $7,600,036, 20 August 2017, Wide Release","Gross USA: $27,780,977, 9 November 2017"
187,Airplane! (1980),7.8,78,98,88,Comedy,"Gross USA: $83,400,000","Cumulative Worldwide Gross: $130,000,000, 31 December 1981","Production Co: Paramount Pictures,Howard W. Koch Productions See more »"
188,The Player (1992),7.6,86,98,89,Comedy,"Opening Weekend USA: $302,216, 10 April 1992, Limited Release","Gross USA: $21,706,100","Cumulative Worldwide Gross: $28,876,701"
189,The Princess Bride (1987),8.1,77,100,93,Animation,"Budget:$16,000,000 (estimated)","Opening Weekend USA: $206,243, 27 September 1987, Limited Release","Gross USA: $30,857,814"
190,Some Like It Hot (1959),8.3,97,100,86,Animation,"Gross USA: $25,000,000","Production Co: Ashton Productions,The Mirisch Corporation See more »",Show more on IMDbPro »
191,Big (1988),7.3,73,97,92,Animation,"Gross USA: $114,968,774","Cumulative Worldwide Gross: $151,668,774","Production Co: American Entertainment Partners II L.P.,Gracie Films,Twentieth Century Fox See more »"
192,Don't Think Twice (2016),6.7,83,91,81,Drama,"Gross USA: $4,417,983, 25 November 2016","Production Co: Cold Iron Pictures,The Film Arcade See more »",Show more on IMDbPro »
193,Life of Brian (1979),8.1,75,99,94,Action & Adventure,"Opening Weekend USA: $140,034, 19 August 1979, Limited Release","Gross USA: $20,045,115","Cumulative Worldwide Gross: $36,045,115"
194,Before Sunrise (1995),8.1,77,100,92,Action & Adventure,"Opening Weekend USA: $1,423,537, 29 January 1995, Limited Release","Gross USA: $5,535,405","Cumulative Worldwide Gross: $17,200,000"
195,Back to the Future (1985),8.5,87,100,95,Action & Adventure,"Budget:$19,000,000 (estimated)","Opening Weekend USA: $11,332,134, 7 July 1985, Wide Release","Gross USA: $210,609,762"
196,The Grand Budapest Hotel (2014),8.1,88,97,95,Action & Adventure,"Budget:$25,000,000 (estimated)","Opening Weekend USA: $811,166, 9 March 2014, Limited Release","Gross USA: $59,100,318"
197,Groundhog Day (1993),8,72,96,71,Action & Adventure,"Opening Weekend USA: $14,652,108, 15 February 1993, Wide Release","Gross USA: $70,906,973",Production Co: Columbia Pictures Corporation See more »
198,Sideways (2004),7.5,94,98,82,Drama,"Budget:$12,000,000 (estimated)","Opening Weekend USA: $207,042, 24 October 2004, Limited Release","Gross USA: $71,503,593"
199,Tangerine (2015),7.1,85,100,93,Classics,"Budget:$100,000 (estimated)","Opening Weekend USA: $74,934, 17 July 2015, Limited Release","Gross USA: $701,837, 16 October 2015"
200,The Edge of Seventeen (2016),7.4,77,94,95,Classics,"Budget:$9,000,000 (estimated)","Opening Weekend USA: $4,754,215, 18 November 2016, Wide Release","Gross USA: $14,260,193, 16 December 2016"
201,What We Do in the Shadows (2014),7.6,76,97,90,Comedy,"Budget:$1,600,000 (estimated)","Opening Weekend USA: $128,520, 20 February 2015, Limited Release","Gross USA: $3,333,000, 10 May 2015"
202,Bull Durham (1988),7.1,73,98,93,Comedy,"Budget:$7,000,000 (estimated)","Gross USA: $50,888,729",Production Co: The Mount Company See more »
203,Moonrise Kingdom (2012),7.8,84,100,89,Art House & International,"Budget:$16,000,000 (estimated)","Opening Weekend USA: $522,996, 27 May 2012, Limited Release","Gross USA: $45,512,466"
204,Sense and Sensibility (1995),7.7,84,97,92,Comedy,"Opening Weekend: £5,043,343 (United Kingdom), 15 March 1996","Gross USA: $43,182,776","Cumulative Worldwide Gross: $135,000,000"
205,Enough Said (2013),7,78,97,60,Comedy,"Budget:$8,000,000 (estimated)","Opening Weekend USA: $232,800, 22 September 2013, Limited Release","Gross USA: $17,536,788, 10 January 2014"
206,Lost in Translation (2003),7.8,89,100,86,Comedy,"Budget:$4,000,000 (estimated)","Opening Weekend USA: $925,087, 14 September 2003, Limited Release","Gross USA: $44,585,453"
207,Brazil (1985),8,88,98,90,Drama,"Opening Weekend USA: $30,099, 22 December 1985, Limited Release","Gross USA: $9,929,135",Production Co: Embassy International Pictures See more »
208,Broadcast News (1987),7.2,84,96,87,Drama,"Opening Weekend USA: $197,542, 20 December 1987, Limited Release","Gross USA: $51,249,404","Cumulative Worldwide Gross: $67,331,309"
209,The Band's Visit (2007),7.6,80,98,90,Drama,"Opening Weekend USA: $67,492, 10 February 2008, Limited Release","Gross USA: $3,053,823, 6 July 2008","Production Co: July August Productions,Bleiberg Entertainment,Sophie Dulac Productions See more »"
210,The Muppets (2011),7.1,75,95,87,Drama,"Budget:$45,000,000 (estimated)","Opening Weekend USA: $29,239,026, 18 November 2011, Wide Release","Gross USA: $88,631,237"
211,The Wizard of Oz (1939),8,100,100,93,Art House & International,"Budget:$2,800,000 (estimated)","Opening Weekend USA: $5,354,311, 8 November 1998, Wide Release","Gross USA: $22,202,612, 13 October 2013"
212,Citizen Kane (1941),8.4,100,98,83,Romance,"Budget:$839,727 (estimated)","Opening Weekend USA: $216,239, 5 May 1991, Limited Release","Gross USA: $1,585,634"
213,The Third Man (1949),8.2,97,98,92,Drama,"Opening Weekend USA: $13,576, 9 May 1999, Limited Release","Gross USA: $449,191, 31 December 2015",Production Co: London Film Productions See more »
214,The Cabinet of Dr. Caligari (1920),8.1,81,92,79,Drama,Production Co: Decla-Bioscop AG See more »,Show more on IMDbPro »,Runtime: 76 min | 51 min (video) | 73 min (DVD)
215,Metropolis (1927),8.3,98,98,80,Comedy,"Budget:DEM 6,000,000 (estimated)","Opening Weekend USA: $19,386, 14 July 2002","Gross USA: $1,236,166"
216,Casablanca (1942),8.5,100,94,79,Comedy,"Budget:$950,000 (estimated)","Opening Weekend USA: $181,494, 12 April 1992, Limited Release","Gross USA: $1,024,560, 16 November 2017"
217,Psycho (1960),8.5,97,92,75,Comedy,"Gross USA: $32,000,000","Cumulative Worldwide Gross: $50,000,000, 31 January 2004",Production Co: Shamley Productions See more »
218,Nosferatu (1922),8,80,97,89,Animation,"Production Co: Jofa-Atelier Berlin-Johannisthal,Prana-Film GmbH See more »",Show more on IMDbPro »,Runtime: 94 min | 65 min (video) | 92 min (DVD) | 84 min | 88 min (1997 restored) | 84 min (DVD)
219,King Kong (2005),7.2,81,98,84,Drama,"Production Co: Universal Pictures,WingNut Films,Big Primate Pictures See more »",Show more on IMDbPro »,Runtime: 187 min | 200 min (extended edition)
220,The Adventures of Robin Hood (1938),8,97,97,94,Action & Adventure,"Gross USA: $3,981,000",Production Co: Warner Bros. See more »,Show more on IMDbPro »
221,North by Northwest (1959),8.3,98,97,88,Action & Adventure,"Gross USA: $13,275,000","Cumulative Worldwide Gross: $22,213,000",Production Co: Metro-Goldwyn-Mayer (MGM) See more »
222,Sunset Boulevard (1950),8.4,84,96,94,Action & Adventure,"Gross USA: $5,123,000, 31 December 1950","Cumulative Worldwide Gross: $5,303,175",Production Co: Paramount Pictures See more »
223,Rear Window (1954),8.5,100,94,91,Classics,"Opening Weekend USA: $234,258, 2 October 1983, Limited Release","Gross USA: $36,764,313","Cumulative Worldwide Gross: $36,888,916"
224,Touch of Evil (1958),8.1,99,97,82,Classics,"Opening Weekend USA: $70,725, 13 September 1998, Limited Release","Gross USA: $2,237,659, 3 January 1999",Production Co: Universal International Pictures (UI) See more »
225,A Streetcar Named Desire (1951),8,96,95,90,Romance,"Gross USA: $8,000,000","Production Co: Charles K. Feldman Group,Warner Bros. See more »",Show more on IMDbPro »
226,Vertigo (1958),8.3,100,98,69,Comedy,"Opening Weekend USA: $10,783, 30 October 1983, Limited Release","Gross USA: $3,200,000","Cumulative Worldwide Gross: $25,000,000, 31 January 1998"
227,Rosemary's Baby (1968),8,96,96,90,Comedy,"Gross USA: $33,395,426, 31 December 1969",Production Co: William Castle Productions See more »,Show more on IMDbPro »
228,Rebecca (1940),8.1,81,97,93,Comedy,"Gross USA: $4,360,000","Cumulative Worldwide Gross: $7,592,465",Production Co: Selznick International Pictures See more »
229,Frankenstein (2011),9,90,100,93,Drama,Show more on IMDbPro »,Runtime: 130 min,Color: Color
230,On the Waterfront (1954),8.2,88,94,94,Drama,"Budget:$910,000 (estimated)","Gross USA: $9,600,000","Production Co: Columbia Pictures Corporation,Horizon Pictures See more »"
231,The Grapes of Wrath (1940),8.1,95,96,94,Action & Adventure,"Gross USA: $55,000, 31 January 1940",Production Co: Twentieth Century Fox See more »,Show more on IMDbPro »
232,Roman Holiday (1953),8.1,76,90,80,Action & Adventure,"Gross USA: $5,000,000, 31 January 1955","Cumulative Worldwide Gross: $12,000,000, 31 January 2004",Production Co: Paramount Pictures See more »
233,The Last Picture Show (1971),8.1,93,91,86,Drama,"Gross USA: $29,133,000","Production Co: Columbia Pictures Corporation,BBS Productions,Last Picture Show Productions See more »",Show more on IMDbPro »
234,Chinatown (1974),8.2,92,96,88,Drama,"Gross USA: $29,200,000","Cumulative Worldwide Gross: $30,000,000, 31 January 2000","Production Co: Paramount Pictures,Penthouse Video,Long Road Productions See more »"
235,Rio Bravo (1959),8,80,96,78,Drama,"Production Co: Warner Bros.,Armada Productions See more »",Show more on IMDbPro »,Runtime: 141 min
236,Sweet Smell of Success (1957),8.2,100,97,76,Drama,"Production Co: Norma Productions,Curtleigh Productions,Hill-Hecht-Lancaster Productions See more »",Show more on IMDbPro »,Runtime: 96 min
237,Invasion of the Body Snatchers (1978),7.4,75,95,83,Drama,"Budget:$3,500,000 (estimated)","Opening Weekend USA: $1,298,129, 25 December 1978, Limited Release","Gross USA: $24,946,533"
238,Moonlight (2016),7.4,99,96,86,Drama,"Budget:$1,500,000 (estimated)","Opening Weekend USA: $402,075, 23 October 2016, Limited Release","Gross USA: $27,850,912, 28 April 2017"
239,Spotlight (2015),8.1,93,97,82,Drama,"Budget:$20,000,000 (estimated)","Opening Weekend USA: $295,009, 8 November 2015, Limited Release","Gross USA: $45,055,776"
240,Selma (2014),7.5,89,97,84,Drama,"Budget:$20,000,000 (estimated)","Opening Weekend USA: $633,173, 2 January 2015, Limited Release","Gross USA: $52,076,908"
241,The Godfather (1972),9.2,100,93,86,Comedy,"Budget:$6,000,000 (estimated)","Opening Weekend USA: $302,393, 19 March 1972, Limited Release","Gross USA: $134,966,411, 11 May 1997"
242,Boyhood (2014),7.9,100,98,90,Drama,"Budget:$4,000,000 (estimated)","Opening Weekend USA: $387,618, 13 July 2014, Limited Release","Gross USA: $25,379,975"
243,The Battle of Algiers (1966),8.1,95,95,75,Drama,"Opening Weekend USA: $64,870, 11 January 2004, Limited Release","Gross USA: $55,908, 6 January 2017","Production Co: Casbah Film,Igor Film See more »"
244,Arrival (2016),7.9,81,95,85,Drama,"Budget:$47,000,000 (estimated)","Opening Weekend USA: $24,000,000, 11 November 2016, Wide Release","Gross USA: $100,546,139"
245,12 Years a Slave (2013),8.1,96,98,90,Drama,"Budget:$20,000,000 (estimated)","Opening Weekend USA: $923,715, 20 October 2013, Limited Release","Gross USA: $56,671,993"
246,Argo (2012),7.7,86,98,78,Drama,"Budget:$44,500,000 (estimated)","Opening Weekend USA: $19,458,109, 14 October 2012, Wide Release","Gross USA: $136,025,503"
247,Gravity (2013),7.7,96,98,86,Drama,"Budget:$100,000,000 (estimated)","Opening Weekend USA: $55,785,112, 6 October 2013, Wide Release","Gross USA: $274,092,705"
248,Alien (1979),8.5,83,95,80,Comedy,"Budget:$11,000,000 (estimated)","Opening Weekend USA: $3,527,881, 25 May 1979, Limited Release","Gross USA: $78,900,000"
249,Bicycle Thieves (1948),8.3,83,98,89,Kids & Family,"Opening Weekend USA: $11,845, 4 October 1998, Limited Release","Gross USA: $36,818, 31 December 2009","Production Co: Produzioni De Sica (PDS),Produzioni De Sica See more »"
250,Taxi Driver (1976),8.3,94,100,90,Kids & Family,"Gross USA: $28,262,574","Production Co: Columbia Pictures Corporation,Columbia Pictures Corporation,Bill/Phillips See more »",Show more on IMDbPro »
251,Manchester by the Sea (2016),7.8,96,99,93,Kids & Family,"Budget:$8,500,000 (estimated)","Opening Weekend USA: $256,498, 20 November 2016, Limited Release","Gross USA: $47,695,120, 21 April 2017"
252,M (1931),8.4,84,100,89,Horror,"Gross USA: $35,566, 31 December 2013",Production Co: Nero-Film AG See more »,Show more on IMDbPro »
253,The Treasure of the Sierra Madre (1948),8.3,99,100,94,Horror,"Gross USA: $5,014,000",Production Co: Warner Bros. See more »,Show more on IMDbPro »
254,Hell or High Water (2016),7.6,88,99,92,Drama,"Budget:$12,000,000 (estimated)","Opening Weekend USA: $621,329, 12 August 2016, Limited Release","Gross USA: $26,862,450, 6 November 2016"
255,Army of Shadows (1969),8.2,99,98,93,Romance,"Opening Weekend USA: $12,620, 30 April 2006, Limited Release","Gross USA: $741,766, 26 April 2007","Production Co: Les Films Corona,Fono Roma See more »"
256,The Night of the Hunter (1955),8,99,100,95,Classics,"Budget:$795,000 (estimated)",Production Co: Paul Gregory Productions See more »,Show more on IMDbPro »
257,Brooklyn (2015),7.5,87,97,95,Drama,"Budget:$11,000,000 (estimated)","Opening Weekend USA: $187,281, 8 November 2015, Limited Release","Gross USA: $38,317,535, 22 May 2016"
258,The Babadook (2014),6.8,86,100,90,Mystery & Suspense,"Budget:$2,000,000 (estimated)","Opening Weekend USA: $30,007, 28 November 2014, Limited Release","Gross USA: $924,279, 8 February 2015"
259,The Conformist (1970),8.1,100,97,92,Drama,"Production Co: Mars Film,Marianne Productions,Maran Film See more »",Show more on IMDbPro »,Runtime: 113 min | 108 min (first release) (international)
260,The Dark Knight (2008),9,84,97,94,Horror,"Budget:$185,000,000 (estimated)","Opening Weekend USA: $158,411,483, 20 July 2008, Wide Release","Gross USA: $534,858,444, 19 July 2012"
261,The Wrestler (2008),7.9,81,98,89,Musical & Performing Arts,"Budget:$6,000,000 (estimated)","Opening Weekend USA: $202,714, 21 December 2008, Limited Release","Gross USA: $26,236,603, 10 May 2009"
262,L.A. Confidential (1997),8.3,90,97,87,Horror,"Budget:$35,000,000 (estimated)","Opening Weekend USA: $5,211,198, 21 September 1997, Wide Release","Gross USA: $64,616,940"
263,Sorcerer (1977),7.8,68,98,86,Action & Adventure,"Cumulative Worldwide Gross: $9,000,000, 31 December 1977","Production Co: Film Properties International N.V.,Paramount Pictures,Universal Pictures See more »",Show more on IMDbPro »
264,Jaws (1975),8,87,100,89,Action & Adventure,"Budget:$8,000,000 (estimated)","Opening Weekend USA: $7,061,513, 22 June 1975, Limited Release","Gross USA: $260,000,000"
265,Carol (2015),7.2,95,99,94,Mystery & Suspense,"Budget:$11,800,000 (estimated)","Opening Weekend USA: $253,510, 22 November 2015, Limited Release","Gross USA: $12,711,491, 31 March 2016"
266,Creed (2015),7.6,82,98,95,Drama,"Budget:$35,000,000 (estimated)","Opening Weekend USA: $29,632,823, 29 November 2015, Wide Release","Gross USA: $109,767,581"
267,Harry Potter and the Deathly Hallows: Part 2 (2011),8.1,87,100,95,Drama,"Budget:$125,000,000 (estimated)","Opening Weekend USA: $169,189,427, 17 July 2011, Wide Release","Gross USA: $381,011,219, 28 May 2012"
268,The Hurt Locker (2008),7.6,94,100,93,Drama,"Budget:$15,000,000 (estimated)","Opening Weekend USA: $145,352, 28 June 2009, Limited Release","Gross USA: $17,017,811, 12 May 2015"
269,The Godfather: Part II (1974),9,90,100,97,Drama,"Budget:$13,000,000 (estimated)","Gross USA: $57,300,000","Production Co: Paramount Pictures,The Coppola Company See more »"
270,Whiplash (2014),8.5,88,96,92,Drama,"Budget:$3,300,000 (estimated)","Opening Weekend USA: $135,388, 10 October 2014, Limited Release","Gross USA: $13,092,000"
271,Hidden Figures (2016),7.8,74,100,97,Drama,"Budget:$25,000,000 (estimated)","Opening Weekend USA: $515,499, 25 December 2016, Limited Release","Gross USA: $169,607,287"
272,Room (2015),8.2,86,100,94,Drama,"Budget:$13,000,000 (estimated)","Opening Weekend USA: $1,335,563, 16 October 2015, Wide Release","Gross USA: $14,677,654, 24 April 2016"
273,Gone with the Wind (1939),8.2,97,98,90,Drama,"Budget:$3,977,000 (estimated)","Opening Weekend USA: $1,192,593, 28 June 1998, Limited Release","Gross USA: $198,676,459"
274,The Searchers (1956),8,80,96,93,Drama,Production Co: C.V. Whitney Pictures See more »,Show more on IMDbPro »,Runtime: 119 min
275,Nightcrawler (2014),7.9,76,98,93,Drama,"Budget:$8,500,000 (estimated)","Opening Weekend USA: $10,900,000, 1 November 2014, Wide Release","Gross USA: $32,381,218"
276,Star Trek ,8.3,83,99,94,Classics,"Budget:$200,000 (estimated)","Production Co: Desilu Productions,Norway Corporation,Paramount Television See more »",Show more on IMDbPro »
277,Things to Come (2016),7,88,99,87,Horror,"Budget:$2,100,000 (estimated)","Opening Weekend USA: $33,090, 2 December 2016, Limited Release","Gross USA: $282,382, 6 January 2017"
278,Her (2013),8,90,100,92,Drama,"Budget:$23,000,000 (estimated)","Opening Weekend USA: $260,382, 20 December 2013, Limited Release","Gross USA: $25,568,251"
279,Schindler's List (1993),8.9,93,100,87,Horror,"Budget:$22,000,000 (estimated)","Opening Weekend USA: $656,636, 17 December 1993, Limited Release","Gross USA: $96,067,179"
280,Double Indemnity (1944),8.3,95,98,95,Drama,"Budget:$927,262 (estimated)","Gross USA: $5,720,000, 31 December 1944",Production Co: Paramount Pictures See more »
281,Let the Right One In (2008),7.9,82,100,88,Drama,"Opening Weekend USA: $49,295, 26 October 2008, Limited Release","Gross USA: $2,122,065, 30 April 2009","Cumulative Worldwide Gross: $7,282,007, 5 April 2009"
282,Once Upon a Time in the West (1968),8.5,80,98,94,Drama,"Gross USA: $5,321,508, 22 June 1984","Production Co: Rafran Cinematografica,San Marco,Paramount Pictures See more »",Show more on IMDbPro »
283,Mudbound (2017),7.4,85,100,90,Drama,Show more on IMDbPro »,Runtime: 134 min,Sound Mix: Dolby Atmos
284,Mr. Turner (2014),6.8,94,98,88,Mystery & Suspense,"Budget:£8,200,000 (estimated)","Opening Weekend USA: $109,000, 19 December 2014, Limited Release","Gross USA: $3,958,546"
285,Apocalypse Now (1979),8.5,94,100,95,Drama,"Budget:$31,500,000 (estimated)","Opening Weekend USA: $118,558, 19 August 1979, Limited Release","Gross USA: $83,471,511"
286,It Follows (2014),6.9,83,98,93,Drama,"Budget:$1,000,000 (estimated)","Opening Weekend USA: $160,089, 15 March 2015, Limited Release","Gross USA: $14,673,301, 21 June 2015"
287,Night of the Living Dead (1968),7.9,88,100,85,Drama,"Budget:$114,000 (estimated)","Opening Weekend USA: $5,452, 15 October 2017, Limited Release","Gross USA: $89,029, 9 November 2017"
288,The Witch (2015),6.8,83,100,90,Drama,"Budget:$3,500,000 (estimated)","Opening Weekend USA: $8,800,230, 21 February 2016, Wide Release","Gross USA: $25,138,292, 22 May 2016"
289,Pan's Labyrinth (2006),8.2,98,100,91,Classics,"Budget:€13,500,000 (estimated)","Opening Weekend: €1,545,313 (Spain), 15 October 2006, Limited Release","Opening Weekend USA: $779,427, 31 December 2006, Limited Release"
